"pew_religimp","pew_churatd","sex","educ","nonwhite","age","faminc_new","pid3","ideo5","QueerPhobia","ImmiPhobia","InterGBiasParty","InterGBiasCand","InterGBiasSup","LibMediaUse","ConMediaUse","Real_Threat","Symb_Threat","Evaluation","teamweight","caseid"
4,6,"1",5,"1",25,6,"1",2,1.33333333333333,1,-47,-99,-73,3,3,4,4,"0",1.58953167357545,1237371851
4,6,"1",6,"1",41,12,"1",2,1.66666666666667,1,-51,-59,-66,4.33333333333333,2.33333333333333,5,4.71428571428571,"0",0.668922720206947,1237372457
1,1,"2",4,"2",57,3,"1",2,4.33333333333333,2,-90,-96,-1,5,1.33333333333333,5,4.71428571428571,"0",0.815395494521315,1237401347
1,1,"1",6,"2",66,12,"3",3,4.33333333333333,1,-86,-99,-99,2.66666666666667,1,5,4.71428571428571,"0",0.803306296256438,1237404353
3,5,"2",3,"1",73,9,"3",3,2,2,-41,-95,-95,1,1,3,4,"0",1.09233895417167,1237406021
4,4,"1",3,"2",83,97,"1",2,3,1,-45,-85,-78,2.66666666666667,1,4,3.85714285714286,"0",1.63795095613863,1237407713
4,6,"2",5,"1",37,6,"1",1,1,1.5,-57,-56,-69,2,1.33333333333333,5,5,"0",0.731175805764677,1237431545
2,6,"1",2,"1",76,3,"3",1,1,1,-10,-3,-10,4,1,5,5,"0",0.94627528629437,1237432303
1,5,"1",2,"1",70,97,"3",3,2.66666666666667,1.5,-50,-20,-18,1.33333333333333,1.33333333333333,2.25,2.85714285714286,"3",2.04494108933566,1237439231
4,6,"2",5,"1",31,9,"1",1,1.33333333333333,1,-98,-98,-94,4.66666666666667,1,5,5,"0",0.737816280310873,1237491237
2,5,"2",3,"2",59,9,"3",3,1.33333333333333,1,-65,-94,-59,4.66666666666667,1,3.5,4.14285714285714,"0",1.21899510444004,1237491777
3,5,"1",3,"1",74,10,"2",5,3.33333333333333,2.5,68,98,98,2,5.33333333333333,5,5,"2",1.05497397121027,1237524887
2,4,"2",5,"1",66,5,"2",3,3.33333333333333,3.5,86,77,87,2.66666666666667,2.33333333333333,4,3.28571428571429,"1",1.02021116294363,1237525337
2,4,"1",6,"1",61,15,"3",3,3,2.5,46,70,42,1.33333333333333,2.66666666666667,1,2.57142857142857,"2",1.0124296228502,1237525499
4,6,"2",3,"1",56,4,"1",2,1.33333333333333,1.5,-84,-100,-80,4.66666666666667,1.66666666666667,3.75,4.14285714285714,"0",0.873552496252135,1237526157
1,7,"1",3,"2",40,97,"3",6,3.66666666666667,2,-5,-43,-39,1.33333333333333,1.33333333333333,2.75,3,"3",0.851340183152185,1237534151
1,2,"1",5,"1",78,97,"2",4,3,3,92,97,93,1,5.66666666666667,4.5,4.71428571428571,"2",0.954665491423916,1237559187
4,6,"2",6,"1",71,5,"3",2,1,1,-20,-53,-53,5,2.33333333333333,5,5,"0",1.15400474474816,1237561289
4,6,"2",6,"1",55,12,"1",2,1.33333333333333,1,-80,-98,-99,4.33333333333333,1.66666666666667,4,3.71428571428571,"0",0.883661908865727,1237562771
1,6,"2",5,"2",24,6,"3",6,1.33333333333333,1,-45,-8,-39,2.66666666666667,2.66666666666667,2,2.71428571428571,"0",0.734682847960178,1237600477
1,1,"2",2,"1",77,97,"2",5,4,3.5,66,86,70,1,2.33333333333333,3.5,3.57142857142857,"2",1.06641411116284,1237621599
2,4,"2",5,"1",33,97,"2",4,5,2.5,82,59,80,1,1,3.25,4.42857142857143,"2",3.95821144574758,1237694809
1,1,"1",3,"1",29,6,"2",4,4,2.5,31,65,9,2,2.66666666666667,3.25,3.42857142857143,"2",1.43306816210147,1237706955
